model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,fold
rolling_momentum_21d,7680,256,0.009960818882809827,0.0710081736611084,0.49609375,0.014313040565375336,0.02483024502987565,0.7546026809638436,1.556752459513416,1.5445424477852423,0.012408888482090734,0.12031426771856601,0.103137297989604,-0.15607439248590788,0.10093918829926676,0.012605854965933444,0.3450520833333333,10.0,fold_2019_2021_to_2023
rolling_mean_5d,7680,256,0.00045978741775642886,0.013737831184949102,0.49557291666666664,-0.011848084512996555,-0.005271646939960589,-0.6253027752627799,-0.3327766319793039,-0.3301665788815883,-0.10985685071250853,0.12494259996743995,-0.8792585614605205,-0.25073933191848374,0.06923272308570563,-0.11160061024762771,0.7063802083333333,10.0,fold_2019_2021_to_2023
ridge_wind_weather_only,7680,256,0.00036007931614087224,0.011691895843835858,0.49375,-0.0009547778369036783,-0.0053493473294428245,-0.06616859811471959,-0.3762985666697168,-0.37334715979429856,-0.28003073807165274,0.10332718385841323,-2.7101361676068922,-0.2886364569235557,0.007357662911336882,-0.28447567042199645,1.1399739583333333,10.0,fold_2019_2021_to_2023
lagged_return_reversal,7680,256,0.0008324618334126735,0.018542682342953812,0.49322916666666666,-0.007010487160361704,-0.00535700118529819,-0.3698976781042098,-0.32362503388528185,-0.32108675913574014,-0.3849479568000991,0.12699796543090786,-3.0311348334909094,-0.4139697115302316,-5.824182867210717e-05,-0.3910582418286721,1.52734375,10.0,fold_2019_2021_to_2023
ridge_price_only,7680,256,0.00036014723193645545,0.011682840828192485,0.5018229166666667,0.0018842796471726098,-0.007875534901128387,0.13099458282165816,-0.5806453376078733,-0.5760911862148398,-0.3228287273595234,0.09318790943558537,-3.4642769573307524,-0.3210580925738661,-0.0349529928731666,-0.3279529928731666,1.14453125,10.0,fold_2019_2021_to_2023
elasticnet_full,7680,256,0.00036035129037597486,0.011683016614572106,0.4881510416666667,-0.028871129950227524,-0.01851633845809736,-1.4821091896194392,-1.1044751121257208,-1.0958124284793138,-0.4184125087027948,0.13839039728328104,-3.0234215445333024,-0.4482996816926519,-0.11305397709490256,-0.4250539770949026,1.21875,10.0,fold_2019_2021_to_2023
ridge_finance_only,7680,256,0.0003611260856659412,0.011706986227703756,0.49127604166666666,-0.018216114389826406,-0.0348856786434429,-0.9469129715191688,-2.2457412961937675,-2.2281273670187076,-0.4151375072174813,0.1190121637711941,-3.4881939296188302,-0.47788052721902147,-0.14406032479236197,-0.42172699145902864,1.0846354166666665,10.0,fold_2019_2021_to_2023
ridge_full,7680,256,0.0003643367864643198,0.011843440597678808,0.46979166666666666,-0.035901444681917555,-0.042736852242411624,-2.0095105469776584,-2.938037283268778,-2.914993497811882,-0.32144529129626975,0.11885636300596995,-2.70448533983935,-0.3803594882809784,-0.11488093084065494,-0.32654759750732165,0.8268229166666667,10.0,fold_2019_2021_to_2023
country_sector_dummy,7680,256,0.00036124952186644606,0.011720422266407425,0.47903645833333336,-0.04487936077600912,-0.04696806150046157,-2.331615388755496,-2.668009944089149,-2.6470840528152118,-0.13233316081307442,0.12854205740456978,-1.0294930973181224,-0.29708496865028006,-0.13343368717518672,-0.13443368717518672,0.00390625,10.0,fold_2019_2021_to_2023
ridge_country_features_only,7680,256,0.00036124952186644606,0.011720422266407425,0.47903645833333336,-0.04487936077600912,-0.04696806150046157,-2.331615388755496,-2.668009944089149,-2.6470840528152118,-0.13233316081307442,0.12854205740456978,-1.0294930973181224,-0.29708496865028006,-0.13343368717518672,-0.13443368717518672,0.00390625,10.0,fold_2019_2021_to_2023
