model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,fold
rolling_momentum_21d,7680,256,0.009886360969317488,0.07159267991485617,0.47747395833333334,0.021300293881287083,0.039648208614853214,1.0943405082462099,2.2409833830594206,2.223406771426284,0.39406259825427425,0.2821939224945203,1.3964248229404244,-0.5396585544977437,0.4436508934646596,0.40031756013132624,0.16927083333333331,10.0,fold_2019_2021_to_2023
rolling_mean_5d,7680,256,0.0017644679280566864,0.028222414279615214,0.5049479166666667,0.023550101013398148,0.03412621437321482,1.2996214139628182,2.0977237577477723,2.0812707683671907,0.68017051582808,0.2779759378503847,2.44686831920743,-0.23005137435270254,0.7924668732221763,0.6909668732221764,0.396484375,10.0,fold_2019_2021_to_2023
ridge_price_only,7680,256,0.0017150323353984241,0.02770112157210247,0.5149739583333334,0.028611320365683146,0.019170677060541888,1.9631760309784358,1.4246998627217826,1.413525573626137,0.0866511505230636,0.20298291492148252,0.42688888646900086,-0.37838627192194974,0.2951932322773979,0.08802656561073127,0.8092447916666665,10.0,fold_2019_2021_to_2023
hist_gradient_boosting_full,7680,256,0.0017234911892425144,0.02781897654785711,0.4811197916666667,0.014923465283032825,-0.0060568268260788065,0.8134608766861027,-0.3998605907857649,-0.39672438086793727,0.5074758249483792,0.24160905466863242,2.1004006892224467,-0.3808429338052819,0.6131976634396232,0.5155309967729567,0.38151041666666663,10.0,fold_2019_2021_to_2023
ridge_wind_weather_only,7680,256,0.0017162847065074508,0.027717896773875206,0.4934895833333333,0.008740678758264306,-0.015247733018065812,0.6234640227018002,-1.118733716441706,-1.1099591988779272,-0.0074173431052313755,0.22547608580438214,-0.032896362728535626,-0.39169973388793006,0.17813158795659034,-0.007535078710076318,0.7252604166666666,10.0,fold_2019_2021_to_2023
lagged_return_reversal,7680,256,0.0018060679069509123,0.0284501856687857,0.49453125,-0.010925828541227875,-0.01699117859076405,-0.601176337934922,-1.075669257198736,-1.0672325053145364,-0.8781525508295792,0.27879670791706135,-3.1497952662009876,-0.9561379541380387,-0.6719248135411597,-0.8920914802078265,0.8600260416666666,10.0,fold_2019_2021_to_2023
ridge_finance_only,7680,256,0.0017278188398208401,0.02780273100635314,0.4747395833333333,-0.039628887784797936,-0.04954117609475135,-1.874581342883809,-2.5614241122719275,-2.5413342012134654,-0.8519537488811519,0.3072470531123174,-2.772862230088538,-1.5465406498047924,-0.7868101575935511,-0.8654768242602179,0.30729166666666663,10.0,fold_2019_2021_to_2023
elasticnet_full,7680,256,0.0017442991795332922,0.028036928797929114,0.46015625,-0.075548206471028,-0.06543090526862458,-3.7132532793912363,-3.6598706692817204,-3.6311653580921073,-0.8830500517056247,0.2701165469835409,-3.2691446028274305,-1.5128550137030141,-0.8544000525263489,-0.8970667191930155,0.16666666666666666,10.0,fold_2019_2021_to_2023
ridge_full,7680,256,0.0017682564783847714,0.028323978896803916,0.47734375,-0.0666347049196209,-0.07435918337707578,-3.747129670698037,-5.013559555929948,-4.974236913075775,-0.9840808082214673,0.27256972014078673,-3.610381988553877,-1.3874899614882399,-0.9475344718440303,-0.9997011385106969,0.20377604166666666,10.0,fold_2019_2021_to_2023
country_sector_dummy,7680,256,0.00174661206399888,0.02809053082596339,0.45729166666666665,-0.0799989179688409,-0.08772930903260598,-3.899255394083291,-4.777763472314084,-4.740290239061812,-0.6748633060508693,0.2763067216647043,-2.442442594175504,-1.442486773217659,-0.6845754220199306,-0.6855754220199307,0.00390625,10.0,fold_2019_2021_to_2023
ridge_country_features_only,7680,256,0.00174661206399888,0.02809053082596339,0.45729166666666665,-0.0799989179688409,-0.08772930903260598,-3.899255394083291,-4.777763472314084,-4.740290239061812,-0.6748633060508693,0.2763067216647043,-2.442442594175504,-1.442486773217659,-0.6845754220199306,-0.6855754220199307,0.00390625,10.0,fold_2019_2021_to_2023
zero_score,7680,256,0.0017163906369219296,0.027685496473128453,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,fold_2019_2021_to_2023
